areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-10-08,10981,597850
overview,United Kingdom,K02000001,2020-10-07,14738,586869
overview,United Kingdom,K02000001,2020-10-06,16212,572131
overview,United Kingdom,K02000001,2020-10-05,16374,555919
overview,United Kingdom,K02000001,2020-10-04,11776,539545
overview,United Kingdom,K02000001,2020-10-03,11532,527769
overview,United Kingdom,K02000001,2020-10-02,13650,516237
overview,United Kingdom,K02000001,2020-10-01,13130,502587
overview,United Kingdom,K02000001,2020-09-30,12522,489457
overview,United Kingdom,K02000001,2020-09-29,10227,476935
overview,United Kingdom,K02000001,2020-09-28,9900,466708
overview,United Kingdom,K02000001,2020-09-27,6963,456808
overview,United Kingdom,K02000001,2020-09-26,6743,449845
overview,United Kingdom,K02000001,2020-09-25,7242,443102
overview,United Kingdom,K02000001,2020-09-24,7607,435860
overview,United Kingdom,K02000001,2020-09-23,7048,428253
overview,United Kingdom,K02000001,2020-09-22,6403,421205
overview,United Kingdom,K02000001,2020-09-21,5591,414802
overview,United Kingdom,K02000001,2020-09-20,5314,409211
overview,United Kingdom,K02000001,2020-09-19,4864,403897
overview,United Kingdom,K02000001,2020-09-18,4963,399033
overview,United Kingdom,K02000001,2020-09-17,4635,394070
overview,United Kingdom,K02000001,2020-09-16,4368,389435
overview,United Kingdom,K02000001,2020-09-15,3554,385067
overview,United Kingdom,K02000001,2020-09-14,3389,381513
overview,United Kingdom,K02000001,2020-09-13,2147,378124
overview,United Kingdom,K02000001,2020-09-12,2672,375977
overview,United Kingdom,K02000001,2020-09-11,3291,373305
overview,United Kingdom,K02000001,2020-09-10,3596,370014
overview,United Kingdom,K02000001,2020-09-09,3330,366418
overview,United Kingdom,K02000001,2020-09-08,3299,363088
overview,United Kingdom,K02000001,2020-09-07,3862,359789
overview,United Kingdom,K02000001,2020-09-06,2446,355927
overview,United Kingdom,K02000001,2020-09-05,2546,353481
overview,United Kingdom,K02000001,2020-09-04,3039,350935
overview,United Kingdom,K02000001,2020-09-03,3098,347896
overview,United Kingdom,K02000001,2020-09-02,3000,344798
overview,United Kingdom,K02000001,2020-09-01,2250,341798
overview,United Kingdom,K02000001,2020-08-31,1500,339548
overview,United Kingdom,K02000001,2020-08-30,1163,338048
overview,United Kingdom,K02000001,2020-08-29,1227,336885
overview,United Kingdom,K02000001,2020-08-28,1633,335658
overview,United Kingdom,K02000001,2020-08-27,1562,334025
overview,United Kingdom,K02000001,2020-08-26,1353,332463
overview,United Kingdom,K02000001,2020-08-25,1246,331110
overview,United Kingdom,K02000001,2020-08-24,1222,329864
overview,United Kingdom,K02000001,2020-08-23,824,328642
overview,United Kingdom,K02000001,2020-08-22,827,327818
overview,United Kingdom,K02000001,2020-08-21,1198,326991
overview,United Kingdom,K02000001,2020-08-20,1465,325793
overview,United Kingdom,K02000001,2020-08-19,1242,324328
overview,United Kingdom,K02000001,2020-08-18,1084,323086
overview,United Kingdom,K02000001,2020-08-17,1284,322002
overview,United Kingdom,K02000001,2020-08-16,600,320718
overview,United Kingdom,K02000001,2020-08-15,697,320118
overview,United Kingdom,K02000001,2020-08-14,1168,319421
overview,United Kingdom,K02000001,2020-08-13,1146,318253
overview,United Kingdom,K02000001,2020-08-12,1205,317107
overview,United Kingdom,K02000001,2020-08-11,1340,315902
overview,United Kingdom,K02000001,2020-08-10,1474,314562
overview,United Kingdom,K02000001,2020-08-09,616,313088
overview,United Kingdom,K02000001,2020-08-08,696,312472
overview,United Kingdom,K02000001,2020-08-07,942,311776
overview,United Kingdom,K02000001,2020-08-06,1084,310834
overview,United Kingdom,K02000001,2020-08-05,1061,309750
overview,United Kingdom,K02000001,2020-08-04,1022,308689
overview,United Kingdom,K02000001,2020-08-03,1042,307667
overview,United Kingdom,K02000001,2020-08-02,555,306625
overview,United Kingdom,K02000001,2020-08-01,543,306070
overview,United Kingdom,K02000001,2020-07-31,675,305527
overview,United Kingdom,K02000001,2020-07-30,925,304852
overview,United Kingdom,K02000001,2020-07-29,1040,303927
overview,United Kingdom,K02000001,2020-07-28,844,302887
overview,United Kingdom,K02000001,2020-07-27,857,302043
overview,United Kingdom,K02000001,2020-07-26,558,301186
overview,United Kingdom,K02000001,2020-07-25,522,300628
overview,United Kingdom,K02000001,2020-07-24,769,300106
overview,United Kingdom,K02000001,2020-07-23,799,299337
overview,United Kingdom,K02000001,2020-07-22,796,298538
overview,United Kingdom,K02000001,2020-07-21,783,297742
overview,United Kingdom,K02000001,2020-07-20,812,296959
overview,United Kingdom,K02000001,2020-07-19,443,296147
overview,United Kingdom,K02000001,2020-07-18,497,295704
overview,United Kingdom,K02000001,2020-07-17,579,295207
overview,United Kingdom,K02000001,2020-07-16,707,294628
overview,United Kingdom,K02000001,2020-07-15,771,293921
overview,United Kingdom,K02000001,2020-07-14,692,293150
overview,United Kingdom,K02000001,2020-07-13,732,292458
overview,United Kingdom,K02000001,2020-07-12,367,291726
overview,United Kingdom,K02000001,2020-07-11,447,291359
overview,United Kingdom,K02000001,2020-07-10,564,290912
overview,United Kingdom,K02000001,2020-07-09,719,290348
overview,United Kingdom,K02000001,2020-07-08,703,289629
overview,United Kingdom,K02000001,2020-07-07,602,288926
overview,United Kingdom,K02000001,2020-07-06,708,288324
overview,United Kingdom,K02000001,2020-07-05,555,287616
overview,United Kingdom,K02000001,2020-07-04,402,287061
overview,United Kingdom,K02000001,2020-07-03,575,286659
overview,United Kingdom,K02000001,2020-07-02,607,286084
overview,United Kingdom,K02000001,2020-07-01,651,285477
overview,United Kingdom,K02000001,2020-06-30,617,284826
overview,United Kingdom,K02000001,2020-06-29,727,284209
overview,United Kingdom,K02000001,2020-06-28,447,283482
overview,United Kingdom,K02000001,2020-06-27,650,283035
overview,United Kingdom,K02000001,2020-06-26,672,282385
overview,United Kingdom,K02000001,2020-06-25,720,281713
overview,United Kingdom,K02000001,2020-06-24,776,280993
overview,United Kingdom,K02000001,2020-06-23,885,280217
overview,United Kingdom,K02000001,2020-06-22,896,279332
overview,United Kingdom,K02000001,2020-06-21,639,278436
overview,United Kingdom,K02000001,2020-06-20,687,277797
overview,United Kingdom,K02000001,2020-06-19,993,277110
overview,United Kingdom,K02000001,2020-06-18,1026,276117
overview,United Kingdom,K02000001,2020-06-17,1015,275091
overview,United Kingdom,K02000001,2020-06-16,1104,274076
overview,United Kingdom,K02000001,2020-06-15,1041,272972
overview,United Kingdom,K02000001,2020-06-14,820,271931
overview,United Kingdom,K02000001,2020-06-13,890,271111
overview,United Kingdom,K02000001,2020-06-12,1052,270221
overview,United Kingdom,K02000001,2020-06-11,1011,269169
overview,United Kingdom,K02000001,2020-06-10,1196,268158
overview,United Kingdom,K02000001,2020-06-09,1158,266962
overview,United Kingdom,K02000001,2020-06-08,1094,265804
overview,United Kingdom,K02000001,2020-06-07,719,264710
overview,United Kingdom,K02000001,2020-06-06,805,263991
overview,United Kingdom,K02000001,2020-06-05,1123,263186
overview,United Kingdom,K02000001,2020-06-04,1249,262063
overview,United Kingdom,K02000001,2020-06-03,1362,260814
overview,United Kingdom,K02000001,2020-06-02,1493,259452
overview,United Kingdom,K02000001,2020-06-01,1438,257959
overview,United Kingdom,K02000001,2020-05-31,1080,256521
overview,United Kingdom,K02000001,2020-05-30,1121,255441
overview,United Kingdom,K02000001,2020-05-29,1527,254320
overview,United Kingdom,K02000001,2020-05-28,1755,252793
overview,United Kingdom,K02000001,2020-05-27,1829,251038
overview,United Kingdom,K02000001,2020-05-26,1667,249209
overview,United Kingdom,K02000001,2020-05-25,1621,247542
overview,United Kingdom,K02000001,2020-05-24,1365,245921
overview,United Kingdom,K02000001,2020-05-23,1525,244556
overview,United Kingdom,K02000001,2020-05-22,2059,243031
overview,United Kingdom,K02000001,2020-05-21,2574,240972
overview,United Kingdom,K02000001,2020-05-20,2717,238398
overview,United Kingdom,K02000001,2020-05-19,3053,235681
overview,United Kingdom,K02000001,2020-05-18,2586,232628
overview,United Kingdom,K02000001,2020-05-17,1838,230042
overview,United Kingdom,K02000001,2020-05-16,2078,228204
overview,United Kingdom,K02000001,2020-05-15,2526,226126
overview,United Kingdom,K02000001,2020-05-14,2626,223600
overview,United Kingdom,K02000001,2020-05-13,3305,220974
overview,United Kingdom,K02000001,2020-05-12,3401,217669
overview,United Kingdom,K02000001,2020-05-11,3583,214268
overview,United Kingdom,K02000001,2020-05-10,2324,210685
overview,United Kingdom,K02000001,2020-05-09,2160,208361
overview,United Kingdom,K02000001,2020-05-08,3061,206201
overview,United Kingdom,K02000001,2020-05-07,3765,203140
overview,United Kingdom,K02000001,2020-05-06,3827,199375
overview,United Kingdom,K02000001,2020-05-05,3682,195548
overview,United Kingdom,K02000001,2020-05-04,3383,191866
overview,United Kingdom,K02000001,2020-05-03,2978,188483
overview,United Kingdom,K02000001,2020-05-02,3231,185505
overview,United Kingdom,K02000001,2020-05-01,4735,182274
overview,United Kingdom,K02000001,2020-04-30,4964,177539
overview,United Kingdom,K02000001,2020-04-29,5442,172575
overview,United Kingdom,K02000001,2020-04-28,4732,167133
overview,United Kingdom,K02000001,2020-04-27,4706,162401
overview,United Kingdom,K02000001,2020-04-26,3471,157695
overview,United Kingdom,K02000001,2020-04-25,3751,154224
overview,United Kingdom,K02000001,2020-04-24,4960,150473
overview,United Kingdom,K02000001,2020-04-23,5149,145513
overview,United Kingdom,K02000001,2020-04-22,5486,140364
overview,United Kingdom,K02000001,2020-04-21,4762,134878
overview,United Kingdom,K02000001,2020-04-20,4857,130116
overview,United Kingdom,K02000001,2020-04-19,3854,125259
overview,United Kingdom,K02000001,2020-04-18,4719,121405
overview,United Kingdom,K02000001,2020-04-17,4952,116686
overview,United Kingdom,K02000001,2020-04-16,5293,111734
overview,United Kingdom,K02000001,2020-04-15,5060,106441
overview,United Kingdom,K02000001,2020-04-14,4318,101381
overview,United Kingdom,K02000001,2020-04-13,4184,97063
overview,United Kingdom,K02000001,2020-04-12,3486,92879
overview,United Kingdom,K02000001,2020-04-11,3579,89393
overview,United Kingdom,K02000001,2020-04-10,4317,85814
overview,United Kingdom,K02000001,2020-04-09,4863,81497
overview,United Kingdom,K02000001,2020-04-08,5129,76634
overview,United Kingdom,K02000001,2020-04-07,5447,71505
overview,United Kingdom,K02000001,2020-04-06,5281,66058
overview,United Kingdom,K02000001,2020-04-05,3593,60777
overview,United Kingdom,K02000001,2020-04-04,4012,57184
overview,United Kingdom,K02000001,2020-04-03,4920,53172
overview,United Kingdom,K02000001,2020-04-02,4867,48252
overview,United Kingdom,K02000001,2020-04-01,4915,43385
overview,United Kingdom,K02000001,2020-03-31,4514,38470
overview,United Kingdom,K02000001,2020-03-30,4270,33956
overview,United Kingdom,K02000001,2020-03-29,2858,29686
overview,United Kingdom,K02000001,2020-03-28,2823,26828
overview,United Kingdom,K02000001,2020-03-27,3191,24005
overview,United Kingdom,K02000001,2020-03-26,3092,20814
overview,United Kingdom,K02000001,2020-03-25,2699,17722
overview,United Kingdom,K02000001,2020-03-24,2373,15023
overview,United Kingdom,K02000001,2020-03-23,2329,12650
overview,United Kingdom,K02000001,2020-03-22,1378,10321
overview,United Kingdom,K02000001,2020-03-21,1196,8943
overview,United Kingdom,K02000001,2020-03-20,1257,7747
overview,United Kingdom,K02000001,2020-03-19,1052,6490
overview,United Kingdom,K02000001,2020-03-18,999,5438
overview,United Kingdom,K02000001,2020-03-17,768,4439
overview,United Kingdom,K02000001,2020-03-16,612,3671
overview,United Kingdom,K02000001,2020-03-15,444,3059
overview,United Kingdom,K02000001,2020-03-14,362,2615
overview,United Kingdom,K02000001,2020-03-13,479,2253
overview,United Kingdom,K02000001,2020-03-12,482,1774
overview,United Kingdom,K02000001,2020-03-11,405,1292
overview,United Kingdom,K02000001,2020-03-10,264,887
overview,United Kingdom,K02000001,2020-03-09,146,623
overview,United Kingdom,K02000001,2020-03-08,57,477
overview,United Kingdom,K02000001,2020-03-07,67,420
overview,United Kingdom,K02000001,2020-03-06,81,353
overview,United Kingdom,K02000001,2020-03-05,51,272
overview,United Kingdom,K02000001,2020-03-04,56,221
overview,United Kingdom,K02000001,2020-03-03,56,165
overview,United Kingdom,K02000001,2020-03-02,40,109
overview,United Kingdom,K02000001,2020-03-01,22,69
overview,United Kingdom,K02000001,2020-02-29,5,47
overview,United Kingdom,K02000001,2020-02-28,12,42
overview,United Kingdom,K02000001,2020-02-27,8,30
overview,United Kingdom,K02000001,2020-02-26,4,22
overview,United Kingdom,K02000001,2020-02-25,5,18
overview,United Kingdom,K02000001,2020-02-24,2,13
overview,United Kingdom,K02000001,2020-02-23,1,11
overview,United Kingdom,K02000001,2020-02-22,0,10
overview,United Kingdom,K02000001,2020-02-21,1,10
overview,United Kingdom,K02000001,2020-02-20,0,9
overview,United Kingdom,K02000001,2020-02-19,0,9
overview,United Kingdom,K02000001,2020-02-18,0,9
overview,United Kingdom,K02000001,2020-02-17,0,9
overview,United Kingdom,K02000001,2020-02-16,0,9
overview,United Kingdom,K02000001,2020-02-15,0,9
overview,United Kingdom,K02000001,2020-02-14,0,9
overview,United Kingdom,K02000001,2020-02-13,0,9
overview,United Kingdom,K02000001,2020-02-12,0,9
overview,United Kingdom,K02000001,2020-02-11,1,9
overview,United Kingdom,K02000001,2020-02-10,0,8
overview,United Kingdom,K02000001,2020-02-09,1,8
overview,United Kingdom,K02000001,2020-02-08,4,7
overview,United Kingdom,K02000001,2020-02-07,0,3
overview,United Kingdom,K02000001,2020-02-06,0,3
overview,United Kingdom,K02000001,2020-02-05,1,3
