areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2020-12-08,494,1514139,95
nation,England,E92000001,2020-12-07,11754,1513645,243
nation,England,E92000001,2020-12-06,10202,1501891,274
nation,England,E92000001,2020-12-05,9812,1491689,262
nation,England,E92000001,2020-12-04,12709,1481877,332
nation,England,E92000001,2020-12-03,12431,1469168,354
nation,England,E92000001,2020-12-02,13383,1456737,320
nation,England,E92000001,2020-12-01,13409,1443354,314
nation,England,E92000001,2020-11-30,14980,1429945,352
nation,England,E92000001,2020-11-29,8888,1414965,382
nation,England,E92000001,2020-11-28,9183,1406077,363
nation,England,E92000001,2020-11-27,12145,1396894,359
nation,England,E92000001,2020-11-26,12217,1384749,367
nation,England,E92000001,2020-11-25,13884,1372532,419
nation,England,E92000001,2020-11-24,14016,1358648,398
nation,England,E92000001,2020-11-23,16165,1344632,396
nation,England,E92000001,2020-11-22,10031,1328467,403
nation,England,E92000001,2020-11-21,10605,1318436,395
nation,England,E92000001,2020-11-20,14681,1307831,385
nation,England,E92000001,2020-11-19,15487,1293150,393
nation,England,E92000001,2020-11-18,18214,1277663,436
nation,England,E92000001,2020-11-17,20328,1259449,363
nation,England,E92000001,2020-11-16,23707,1239121,360
nation,England,E92000001,2020-11-15,14217,1215414,379
nation,England,E92000001,2020-11-14,16030,1201197,358
nation,England,E92000001,2020-11-13,21637,1185167,355
nation,England,E92000001,2020-11-12,21911,1163530,351
nation,England,E92000001,2020-11-11,24634,1141619,311
nation,England,E92000001,2020-11-10,24442,1116985,318
nation,England,E92000001,2020-11-09,28080,1092543,403
nation,England,E92000001,2020-11-08,17952,1064463,337
nation,England,E92000001,2020-11-07,16606,1046511,332
nation,England,E92000001,2020-11-06,20802,1029905,332
nation,England,E92000001,2020-11-05,20872,1009103,301
nation,England,E92000001,2020-11-04,20688,988231,276
nation,England,E92000001,2020-11-03,22296,967543,290
nation,England,E92000001,2020-11-02,27932,945247,283
nation,England,E92000001,2020-11-01,13364,917315,285
nation,England,E92000001,2020-10-31,14355,903951,277
nation,England,E92000001,2020-10-30,19644,889596,280
nation,England,E92000001,2020-10-29,19964,869952,249
nation,England,E92000001,2020-10-28,20237,849988,238
nation,England,E92000001,2020-10-27,20498,829751,218
nation,England,E92000001,2020-10-26,22747,809253,222
nation,England,E92000001,2020-10-25,13162,786506,205
nation,England,E92000001,2020-10-24,13521,773344,170
nation,England,E92000001,2020-10-23,18110,759823,187
nation,England,E92000001,2020-10-22,19617,741713,185
nation,England,E92000001,2020-10-21,21498,722096,191
nation,England,E92000001,2020-10-20,21318,700598,171
nation,England,E92000001,2020-10-19,22094,679280,158
nation,England,E92000001,2020-10-18,11842,657186,119
nation,England,E92000001,2020-10-17,12354,645344,159
nation,England,E92000001,2020-10-16,14538,632990,123
nation,England,E92000001,2020-10-15,15234,618452,124
nation,England,E92000001,2020-10-14,16442,603218,99
nation,England,E92000001,2020-10-13,15433,586776,87
nation,England,E92000001,2020-10-12,16198,571343,96
